location,reference,latitude,longitude,depth,d13C,d18O
Newark Valley,,39.876944,-115.675,3.5,-3.50,-12.62
Newark Valley,,39.876944,-115.675,4,-3.36,-10.54
Newark Valley,,39.876944,-115.675,29,-3.42,-11.76
Newark Valley,,39.876944,-115.675,32,-3.52,-9.59
Newark Valley,,39.876944,-115.675,50,-2.83,-11.14
,,,,,,
South of Wendover,,40.594903,-114.12481,0,0.76,-10.09
South of Wendover,,40.594903,-114.12481,10.16,-1.01,-7.80
South of Wendover,,40.594903,-114.12481,15.24,-0.33,-12.29
South of Wendover,,40.594903,-114.12481,20.32,-1.57,-8.98
South of Wendover,,40.594903,-114.12481,30.48,-0.30,-11.07
South of Wendover,,40.594903,-114.12481,35.56,-0.22,-12.73
South of Wendover,,40.594903,-114.12481,40.64,-0.73,-9.68
South of Wendover,,40.594903,-114.12481,45.72,-0.35,-9.92
,,,,,,
Hay,,39.572481,-116.202982,0,-1.92,-8.80
Hay,,39.572481,-116.202982,7.62,-1.37,-9.09
Hay,,39.572481,-116.202982,15.24,-1.42,-8.84
Hay,,39.572481,-116.202982,22.86,-1.37,-8.22
Hay,,39.572481,-116.202982,30.48,-2.58,-10.45
Hay,,39.572481,-116.202982,38.1,-2.24,-10.02
Hay,,39.572481,-116.202982,45.72,-2.17,-10.38
Hay,,39.572481,-116.202982,53.34,-2.13,-10.44
Hay,,39.572481,-116.202982,60.96,-3.05,-10.32
Hay,,39.572481,-116.202982,68.58,-2.10,-10.00
Hay,,39.572481,-116.202982,76.2,-2.38,-10.36
Hay,,39.572481,-116.202982,83.82,-2.64,-10.58
,,,,,,
,"Pendall et al, 1994",37.6947,-118.0783,5.61,3.67,0.20
,"Pendall et al, 1995",37.6947,-118.0783,12.43,3.57,3.95
,"Pendall et al, 1996",37.6947,-118.0783,13.63,2.92,-0.70
,"Pendall et al, 1997",37.6947,-118.0783,16.04,2.49,-1.41
,"Pendall et al, 1998",37.6947,-118.0783,33.68,0.09,-1.86
,"Pendall et al, 1999",37.6947,-118.0783,33.68,0.16,-1.32
,"Pendall et al, 2000",37.6947,-118.0783,37.69,-0.81,-2.93
,"Pendall et al, 2001",37.6947,-118.0783,39.70,-2.21,-3.55
,"Pendall et al, 2002",37.6947,-118.0783,40.50,-1.06,-4.36
,"Pendall et al, 2003",37.6947,-118.0783,40.50,-1.24,-3.47
,"Pendall et al, 2004",37.6947,-118.0783,49.72,-3.25,-7.04
,"Pendall et al, 2005",37.6947,-118.0783,50.13,-1.96,-5.52
,"Pendall et al, 2006",37.6947,-118.0783,50.13,-1.74,-3.91
,"Pendall et al, 2007",37.6947,-118.0783,50.13,-1.53,-2.48
,"Pendall et al, 2008",37.6947,-118.0783,50.13,-0.34,-11.32
,"Pendall et al, 2009",37.6947,-118.0783,55.34,-1.67,-5.16
,"Pendall et al, 2010",37.6947,-118.0783,59.75,-2.06,-5.88
,"Pendall et al, 2011",37.6947,-118.0783,68.17,-2.14,-4.98
,"Pendall et al, 2012",37.6947,-118.0783,68.17,-2.82,-6.59
,"Pendall et al, 2013",37.6947,-118.0783,69.77,-4.39,-7.48
,"Pendall et al, 2014",37.6947,-118.0783,70.18,-3.18,-8.91
,"Pendall et al, 2015",37.6947,-118.0783,70.18,-1.60,-5.25
,"Pendall et al, 2016",37.6947,-118.0783,76.99,-2.17,-6.05
,"Pendall et al, 2017",37.6947,-118.0783,84.21,-2.53,-5.16
,"Pendall et al, 2018",37.6947,-118.0783,87.82,-2.53,-15.61
,"Pendall et al, 2019",37.6947,-118.0783,88.22,-3.93,-5.43
,"Pendall et al, 2020",37.6947,-118.0783,98.25,-2.82,-9.36
,"Pendall et al, 2021",37.6947,-118.0783,110.28,-3.14,-11.32
,"Pendall et al, 2022",37.6947,-118.0783,113.88,-2.60,-8.73
,"Pendall et al, 2023",37.6947,-118.0783,132.73,-2.31,-7.48
,"Pendall et al, 2024",37.6947,-118.0783,135.14,-2.60,-12.75
,"Pendall et al, 2025",37.6947,-118.0783,150.78,-2.17,-12.75
,,,,,,
,"Quade et al, 1989",36.2981,-115.6641,0,1.5,-7.1
,"Quade et al, 1990",36.2981,-115.6641,0,4.9,-5.3
,"Quade et al, 1991",36.2981,-115.6641,2.5,4.6,-7.9
,"Quade et al, 1992",36.2981,-115.6641,2.5,5.3,-7.3
,"Quade et al, 1993",36.2981,-115.6641,7.5,3.7,-9.4
,"Quade et al, 1994",36.2981,-115.6641,7.5,3.3,-8.3
,"Quade et al, 1995",36.2981,-115.6641,12.5,-0.1,-8.8
,"Quade et al, 1996",36.2981,-115.6641,17.5,-2,-9.2
,"Quade et al, 1997",36.2981,-115.6641,17.5,-0.4,-8.7
,"Quade et al, 1998",36.2981,-115.6641,25,-2.1,-10.3
,"Quade et al, 1999",36.2981,-115.6641,25,-1.7,-8.7
,"Quade et al, 2000",36.2981,-115.6641,35,-2.8,-10.5
,"Quade et al, 2001",36.2981,-115.6641,35,3.5,-10.1
,"Quade et al, 2002",36.2981,-115.6641,45,3.8,-10.8
,"Quade et al, 2003",36.2981,-115.6641,50,-4,-11.2
,"Quade et al, 2004",36.2981,-115.6641,62.5,-4.8,-11.1
,"Quade et al, 2005",36.2981,-115.6641,87.5,-4.6,-11.9
,"Quade et al, 2006",36.2981,-115.6641,87.5,-4.2,-11.2
,"Quade et al, 2007",36.2981,-115.6641,87.5,-5,-12.7
,,,,,,
part2,"Quade et al, 1989",36.2981,-115.6641,8,0,-7.5
part3,"Quade et al, 1990",36.2981,-115.6641,10,-3.9,-6.4
part4,"Quade et al, 1991",36.2981,-115.6641,10,-1.3,-8.3
part5,"Quade et al, 1992",36.2981,-115.6641,10,0,-9.3
part6,"Quade et al, 1993",36.2981,-115.6641,10,-0.9,-8.5
part7,"Quade et al, 1994",36.2981,-115.6641,11,-1.8,-12.3
part8,"Quade et al, 1995",36.2981,-115.6641,15,-4.3,-9.5
part9,"Quade et al, 1996",36.2981,-115.6641,16,-3.9,-13
part10,"Quade et al, 1997",36.2981,-115.6641,20,-1.6,-10.6
part11,"Quade et al, 1998",36.2981,-115.6641,20,-3.2,-12.4
part12,"Quade et al, 1999",36.2981,-115.6641,30,-4.4,-11.6
part13,"Quade et al, 2000",36.2981,-115.6641,30,-48,-11.5
part14,"Quade et al, 2001",36.2981,-115.6641,30,-4.4,-11.1
part15,"Quade et al, 2002",36.2981,-115.6641,40,-4.7,-11.6
part16,"Quade et al, 2003",36.2981,-115.6641,40,-4.5,-11.9
part17,"Quade et al, 2004",36.2981,-115.6641,40,-4.4,-12.6
part18,"Quade et al, 2005",36.2981,-115.6641,50,-4.3,-11
part19,"Quade et al, 2006",36.2981,-115.6641,50,-4.3,-11.1
part20,"Quade et al, 2007",36.2981,-115.6641,50,-3.8,-9.8
part21,"Quade et al, 2008",36.2981,-115.6641,70,-5.1,-10.8
part22,"Quade et al, 2009",36.2981,-115.6641,70,-5.3,-13.4
part23,"Quade et al, 2010",36.2981,-115.6641,90,-4.7,-11.1
part24,"Quade et al, 2011",36.2981,-115.6641,90,-4.7,-11.2
part25,"Quade et al, 2012",36.2981,-115.6641,110,-4.6,-10.7
part26,"Quade et al, 2013",36.2981,-115.6641,110,-4.9,-11.8
part27,"Quade et al, 2014",36.2981,-115.6641,125,-4.7,-11.5
part28,"Quade et al, 2015",36.2981,-115.6641,125,-5.5,-13.9
,,,,,,
,"Quade et al, 1989",36.2469,-116.8169,0,5.9,-4.3
,"Quade et al, 1990",36.2469,-116.8169,0,6.1,-3.8
,"Quade et al, 1991",36.2469,-116.8169,5,5,-3.6
,"Quade et al, 1992",36.2469,-116.8169,5,2.2,-5.4
,"Quade et al, 1993",36.2469,-116.8169,10,2.6,-3
,"Quade et al, 1994",36.2469,-116.8169,10,2.5,-2.4
,"Quade et al, 1995",36.2469,-116.8169,20,0.5,-4
,"Quade et al, 1996",36.2469,-116.8169,20,1.6,-6.4
,"Quade et al, 1997",36.2469,-116.8169,30,-0.2,-6.3
,"Quade et al, 1998",36.2469,-116.8169,30,0.7,-5.8
,"Quade et al, 1999",36.2469,-116.8169,40,0.4,-3.3
,"Quade et al, 2000",36.2469,-116.8169,50,-3.3,-7
,"Quade et al, 2001",36.2469,-116.8169,75,-1.1,-3.1
,"Quade et al, 2002",36.2469,-116.8169,75,-0.6,-3.7
